,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,3.813161754608154,0.1531233751544453,0.19168076515197754,0.004790391316055417,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,10,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 1000}",0.8275621118012423,0.8358362910381544,0.8561723602484472,0.8696203799539246,0.8393331102932977,0.8457048506670132,0.015156964181527005,1
11,4.07524151802063,0.06739952046309218,0.2146087646484375,0.019043156639581702,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,8,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 1000}",0.8269853593611358,0.8351597160603372,0.8548192102928128,0.8684295460363037,0.8395896063343371,0.8449966876169853,0.01480534557759729,2
29,5.461387062072754,0.22766801588981087,0.24484720230102539,0.012954379275681306,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,10,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 1000}",0.8277284826974267,0.8349489795918368,0.8529003992901509,0.8685853560815999,0.8378610460577673,0.8444048527437564,0.014609635955247684,3
10,0.4636714935302734,0.08568435439500847,0.027115249633789064,0.00566009386013706,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,8,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 100}",0.826702528837622,0.8345940550133097,0.8537433451641526,0.8676727543877222,0.8388424222147877,0.8443110211235189,0.014622744769087098,4
13,0.41071343421936035,0.03278442220015215,0.033204841613769534,0.014257443896418606,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,10,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 100}",0.8266359804791481,0.8339008429458741,0.8514696095829636,0.868218089546259,0.8411620385859261,0.8442773122280341,0.014515389008535972,5
8,4.249490976333618,0.09822476768773304,0.20925331115722656,0.008126670846880183,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,6,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 1000}",0.8274401064773735,0.833695652173913,0.8531222271517303,0.8673277464302805,0.838162150105944,0.8439495764678483,0.014435208471286438,6
28,0.5581385135650635,0.04433480925378398,0.03184976577758789,0.006948071742081976,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,10,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 100}",0.8246395297249334,0.8354370008873114,0.8519132653061223,0.8673166171413308,0.8399130143860823,0.8438438854891561,0.01463570127122041,7
26,5.605714511871338,0.12017535079445298,0.26254868507385254,0.029548240713211812,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,8,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 1000}",0.8275066548358475,0.8342280390417036,0.8521794587400177,0.86693822131704,0.8377160700345712,0.843713688793836,0.014139767349005714,8
44,7.707359075546265,0.540308896051933,0.5858637809753418,0.44138473442964704,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",8,10,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 8, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 1000}",0.8266304347826087,0.8346051464063886,0.8515361579414376,0.8682626067020578,0.8357644697223152,0.8433597631109617,0.01484053417480564,9
7,0.4256136417388916,0.015312976771456868,0.03484816551208496,0.008343457268040238,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,6,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 100}",0.8261479591836736,0.8344165927240461,0.8518023513753327,0.8655359309093742,0.8370023419203747,0.8429810352225603,0.013992754095982081,10
25,0.5932446956634522,0.03708995370014952,0.032196760177612305,0.00390242809540166,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,8,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 100}",0.8258484915705413,0.8325865128660159,0.8515361579414373,0.8670717727844368,0.8373145979703356,0.8428715066265534,0.014745659948513493,11
59,5.559484958648682,0.9190747042430553,0.15042757987976074,0.031444959067025935,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",10,10,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 10, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 1000}",0.8264862466725821,0.832575421472937,0.8493955190771961,0.8674056514529288,0.8354076056652169,0.8422540888681722,0.01464770909177445,12
43,0.6340314865112304,0.034954279822332616,0.03133864402770996,0.00710563490680925,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",8,10,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 8, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 100}",0.8275454747116238,0.8311889973380657,0.8494731588287489,0.8673611342971298,0.8356752537080405,0.8422488037767216,0.014591361928528253,13
23,5.847136640548706,0.1426336562630252,0.2578878879547119,0.018158387640268094,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,6,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 1000}",0.8261202307009761,0.8326863354037268,0.8491736912156167,0.8676171079429735,0.835061893609903,0.8421318517746392,0.014796350104326377,14
5,5.014390134811402,0.3346692343521073,0.22816715240478516,0.01165722394703571,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,4,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 1000}",0.8253992901508429,0.8324866903283052,0.8499833629103815,0.8666043426485481,0.8360990297758447,0.8421145431627846,0.014628398667230431,15
37,0.6509690761566163,0.03515427817131314,0.04008674621582031,0.010648997825195303,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",8,6,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 8, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 100}",0.8252329192546585,0.8309228039041703,0.8497504436557232,0.8664819204701013,0.8381509981041597,0.8421078170777626,0.014683526618725276,16
41,7.4023175716400145,0.29734027976576705,0.2957578659057617,0.037685303890424134,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",8,8,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 8, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 1000}",0.8257874889086069,0.8325310559006212,0.849450976042591,0.8668937041612412,0.8355860376937659,0.8420498525413652,0.014620851241885741,17
4,0.6950205326080322,0.10810648409705878,0.048206138610839847,0.035860845633908955,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,4,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 100}",0.8263198757763975,0.8298469387755102,0.8506821206743567,0.8652465693966812,0.8376714620274338,0.8419533933300759,0.014339252288624742,18
40,0.785734748840332,0.06497574599033568,0.042319965362548825,0.016962001374966767,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",8,8,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 8, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 100}",0.8254769299023956,0.832209405501331,0.848286379769299,0.8672164535407834,0.8356975577116093,0.8417773452850836,0.014722286432848503,19
58,0.691361665725708,0.0365838467535242,0.033524370193481444,0.005101684834957943,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",10,10,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 10, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 100}",0.8263531499556345,0.8303793256433007,0.8501053682342503,0.8657028702436201,0.8336901973904315,0.8412461822934475,0.014653318085337716,20
56,7.5807877540588375,0.39004639268185587,0.24668092727661134,0.022339833547309684,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",10,8,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 10, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 1000}",0.8255656610470276,0.8322426796805679,0.8477650842945874,0.8652465693966813,0.8340805174528828,0.8409801023743494,0.014117005562481477,21
22,0.47365221977233884,0.023189927251094478,0.028424930572509766,0.002667624100099852,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,6,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 100}",0.824816992014197,0.8309449866903283,0.8505933895297249,0.864723492816044,0.8333667893386862,0.8408891300777961,0.014669933322888075,22
12,0.05233149528503418,0.01153632609476193,0.009587240219116212,0.0013448052602336373,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,10,10,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 10}",0.8204691659272406,0.8389917923691215,0.8497171694764862,0.8600714500350573,0.834855581576893,0.8408210318769598,0.013437641352158932,23
38,7.127939653396607,0.2622515915187596,0.2866965770721436,0.01820368762818925,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",8,6,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 8, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 1000}",0.8240849600709849,0.832919254658385,0.8472659716060337,0.865624965220972,0.8340582134493141,0.840790673001138,0.014457092687888045,24
55,0.7786682605743408,0.08771857743575857,0.03171830177307129,0.0033632238723957718,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",10,8,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 10, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 100}",0.8234638420585626,0.828405057675244,0.8482087400177463,0.8659031974447152,0.8352068696330992,0.8402375413658735,0.015290115936310186,25
20,5.505822610855103,0.3078391695219272,0.2819939613342285,0.02901740796987809,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,4,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 1000}",0.8238686779059451,0.8328305235137533,0.8457353593611356,0.865090759351385,0.8328426452548232,0.8400735930774085,0.014319651843969964,26
53,7.511467361450196,0.15733703527885,0.303619384765625,0.05481424951130455,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",10,6,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 10, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 1000}",0.8237799467613132,0.8298358473824312,0.8441714729370009,0.8652354401077315,0.833110293297647,0.8392266000972247,0.014595246286311736,27
6,0.053127193450927736,0.0024261113211351266,0.016051292419433594,0.009194213658108293,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,6,10,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 10}",0.8170807453416149,0.8262976929902396,0.8460514640638864,0.8719742245667925,0.8329430132708822,0.8388694280466831,0.019054798883413257,28
19,0.4709623336791992,0.01640772455400525,0.026418161392211915,0.002422316080884481,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,4,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 100}",0.821240017746229,0.8295807453416149,0.8455689884649512,0.8637997618332164,0.8323408051745288,0.838506063712108,0.014869056021495033,29
